date,home,away,gh,ga,result,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,goal_diff_avg
2025-02-24 01:05:00+00:00,Cruz Azul,Club Queretaro,1,0,1,2.0,0.8,1.4,2.2,2.0
2025-02-26 01:00:00+00:00,Tigres UANL,FC Juarez,0,1,2,2.0,0.8,0.6,1.4,1.9999999999999998
2025-02-26 03:00:00+00:00,Club Tijuana,U.N.A.M. - Pumas,4,2,1,2.0,1.4,2.0,1.6,0.20000000000000018
2025-02-26 03:00:00+00:00,Mazatlán,Monterrey,1,0,1,1.0,2.0,1.2,2.0,-0.19999999999999996
2025-02-27 01:00:00+00:00,CF Pachuca,Puebla,2,1,1,1.0,1.4,1.0,1.4,0.0
2025-02-27 03:00:00+00:00,Toluca,Club Queretaro,5,0,1,1.6,0.4,0.8,2.0,2.4000000000000004
2025-02-27 03:05:00+00:00,Atletico San Luis,Guadalajara Chivas,3,1,1,1.2,1.2,2.4,1.6,-0.7999999999999998
2025-03-01 03:00:00+00:00,Mazatlán,Cruz Azul,1,1,0,1.2,1.6,1.0,1.2,-0.20000000000000018
2025-03-01 23:00:00+00:00,Club America,Toluca,3,0,1,2.2,2.6,1.0,1.6,0.20000000000000018
2025-03-01 23:00:00+00:00,FC Juarez,CF Pachuca,2,2,0,1.0,1.4,1.2,1.6,2.220446049250313e-16
2025-03-02 01:00:00+00:00,Leon,Club Tijuana,2,1,1,1.4,0.4,0.8,2.4,2.5999999999999996
2025-03-02 01:00:00+00:00,Necaxa,Tigres UANL,1,2,2,2.0,0.8,1.6,1.4,0.9999999999999998
2025-03-02 03:10:00+00:00,U.N.A.M. - Pumas,Guadalajara Chivas,0,1,2,0.8,1.4,0.8,2.0,0.6000000000000001
2025-03-02 22:00:00+00:00,Club Queretaro,Puebla,2,0,1,1.2,1.4,1.6,1.4,-0.40000000000000013
2025-03-03 00:00:00+00:00,Atlas,Atletico San Luis,3,1,1,1.8,0.8,2.6,2.6,1.0
2025-03-03 02:05:00+00:00,Monterrey,Santos Laguna,4,2,1,1.6,0.8,1.2,1.6,1.2000000000000002
2025-03-08 01:00:00+00:00,Tigres UANL,Club Queretaro,1,0,1,2.0,0.4,0.8,2.2,3.0
2025-03-08 01:00:00+00:00,Atletico San Luis,FC Juarez,1,0,1,1.4,0.8,2.4,1.4,-0.40000000000000013
2025-03-08 03:00:00+00:00,Puebla,U.N.A.M. - Pumas,1,3,2,1.0,1.6,1.0,2.4,0.7999999999999998
2025-03-08 23:00:00+00:00,Toluca,Necaxa,5,2,1,1.8,2.2,0.8,1.0,-0.20000000000000018
2025-03-09 01:00:00+00:00,CF Pachuca,Mazatlán,1,1,0,1.4,0.6,1.0,1.2,0.9999999999999999
2025-03-09 01:05:00+00:00,Cruz Azul,Monterrey,1,1,0,1.6,1.8,1.4,1.8,0.20000000000000018
2025-03-09 03:05:00+00:00,Guadalajara Chivas,Club America,0,0,0,1.4,2.0,0.8,0.6,-0.8
2025-03-09 23:00:00+00:00,Santos Laguna,Leon,2,1,1,0.6,1.8,1.8,1.0,-2.0
2025-03-10 03:00:00+00:00,Club Tijuana,Atlas,3,4,2,2.2,0.4,2.4,1.0,0.40000000000000024
2025-03-15 01:00:00+00:00,Necaxa,Leon,2,1,1,2.2,1.6,2.0,1.2,-0.19999999999999996
2025-03-15 01:00:00+00:00,Club Queretaro,Mazatlán,1,0,1,1.6,0.8,1.4,1.4,0.8
2025-03-15 03:05:00+00:00,Puebla,Toluca,0,3,2,1.0,1.8,1.6,1.8,-0.6000000000000001
2025-03-15 23:00:00+00:00,Tigres UANL,Santos Laguna,3,0,1,1.8,1.2,0.6,2.2,2.2
2025-03-16 01:00:00+00:00,Cruz Azul,Atletico San Luis,3,0,1,1.2,0.8,0.8,2.2,1.8
2025-03-16 01:10:00+00:00,FC Juarez,Guadalajara Chivas,1,1,0,1.2,1.2,1.4,2.0,0.6000000000000001
2025-03-16 03:05:00+00:00,Atlas,Club America,1,3,2,2.0,1.8,2.4,0.4,-1.7999999999999998
2025-03-17 00:00:00+00:00,U.N.A.M. - Pumas,Monterrey,1,3,2,0.4,1.8,0.8,1.8,-0.4
2025-03-17 02:00:00+00:00,CF Pachuca,Club Tijuana,4,1,1,1.2,0.6,1.0,2.2,1.8
2025-03-29 01:00:00+00:00,Necaxa,Club Queretaro,2,0,1,2.0,0.4,1.8,2.0,1.8
2025-03-29 03:10:00+00:00,Mazatlán,Atlas,3,2,1,1.2,1.0,1.0,1.4,0.5999999999999999
2025-03-29 23:00:00+00:00,Toluca,CF Pachuca,3,2,1,2.8,1.6,0.8,1.6,1.9999999999999998
2025-03-29 23:00:00+00:00,FC Juarez,Puebla,2,0,1,1.2,1.2,1.6,1.6,0.0
2025-03-30 01:05:00+00:00,Club America,Tigres UANL,3,0,1,2.6,1.2,0.8,1.0,1.6
2025-03-30 03:05:00+00:00,Guadalajara Chivas,Cruz Azul,0,1,2,1.2,1.8,0.8,1.2,-0.20000000000000018
2025-03-30 03:15:00+00:00,Monterrey,Club Tijuana,1,2,2,2.2,0.6,1.4,2.8,3.0
2025-03-30 23:00:00+00:00,Santos Laguna,Atletico San Luis,2,3,2,1.0,0.4,1.6,2.6,1.6
2025-03-31 01:05:00+00:00,Leon,U.N.A.M. - Pumas,1,2,2,1.8,2.2,1.0,2.4,0.9999999999999998
2025-04-05 01:00:00+00:00,Club Queretaro,Leon,1,1,0,1.2,1.4,1.0,1.4,0.19999999999999996
2025-04-05 03:00:00+00:00,Club Tijuana,Necaxa,1,2,2,2.4,2.4,2.4,1.6,-0.7999999999999998
2025-04-05 03:05:00+00:00,Puebla,Tigres UANL,0,0,0,0.8,0.6,1.8,1.4,-0.20000000000000007
2025-04-05 23:00:00+00:00,Atlas,FC Juarez,1,1,0,2.0,0.6,2.6,1.4,0.19999999999999984
2025-04-05 23:00:00+00:00,CF Pachuca,Club America,1,0,1,2.0,2.2,1.2,0.6,-0.8
2025-04-06 01:00:00+00:00,Atletico San Luis,Mazatlán,2,1,1,1.4,0.6,1.8,1.2,0.19999999999999984
2025-04-06 01:05:00+00:00,Monterrey,Guadalajara Chivas,3,1,1,2.2,1.0,1.6,1.6,1.2000000000000002
2025-04-06 03:10:00+00:00,Cruz Azul,U.N.A.M. - Pumas,3,2,1,1.6,2.2,0.6,2.0,0.7999999999999998
2025-04-07 00:00:00+00:00,Toluca,Santos Laguna,2,1,1,3.2,1.0,1.0,2.4,3.6
2025-04-11 02:05:00+00:00,Club Tijuana,Atletico San Luis,2,1,1,2.2,1.0,2.6,2.4,1.0
2025-04-12 01:00:00+00:00,Necaxa,CF Pachuca,3,5,2,2.2,1.4,1.2,1.8,1.4000000000000004
2025-04-12 03:05:00+00:00,Mazatlán,Guadalajara Chivas,1,1,0,1.4,1.0,1.2,1.8,1.0
2025-04-12 23:00:00+00:00,U.N.A.M. - Pumas,FC Juarez,0,0,0,0.6,0.8,1.4,1.4,-0.20000000000000007
2025-04-12 23:00:00+00:00,Leon,Puebla,1,0,1,1.8,1.0,1.4,1.8,1.2000000000000002
2025-04-13 01:00:00+00:00,Tigres UANL,Monterrey,2,1,1,1.6,1.8,0.6,1.4,0.5999999999999999
2025-04-13 01:05:00+00:00,Atlas,Toluca,2,3,2,1.6,2.2,2.2,1.4,-1.4000000000000004
2025-04-13 03:15:00+00:00,Club America,Cruz Azul,0,0,0,2.6,1.4,0.8,1.0,1.4000000000000001
2025-04-13 23:00:00+00:00,Santos Laguna,Club Queretaro,1,2,2,1.2,0.2,1.4,2.0,1.6
2025-04-16 01:00:00+00:00,CF Pachuca,Tigres UANL,0,0,0,2.0,0.4,0.8,1.2,2.0
2025-04-16 01:05:00+00:00,Guadalajara Chivas,Puebla,1,0,1,1.0,0.6,0.8,2.0,1.5999999999999999
2025-04-16 03:00:00+00:00,FC Juarez,Necaxa,2,2,0,1.4,2.2,1.6,1.8,-0.6000000000000003
2025-04-16 03:05:00+00:00,Cruz Azul,Leon,2,1,1,2.0,1.2,0.8,1.4,1.4
2025-04-17 01:00:00+00:00,Monterrey,Club America,1,0,1,2.4,1.4,1.2,0.6,0.4
2025-04-17 01:00:00+00:00,Club Queretaro,Atlas,1,2,2,1.4,1.4,1.0,2.0,1.0
2025-04-17 02:00:00+00:00,Atletico San Luis,Toluca,0,1,2,1.8,2.6,1.4,1.6,-0.5999999999999999
2025-04-17 03:00:00+00:00,Mazatlán,Club Tijuana,0,2,2,1.4,1.0,1.0,2.2,1.6
2025-04-17 03:05:00+00:00,U.N.A.M. - Pumas,Santos Laguna,2,0,1,0.4,1.2,1.2,2.6,0.6000000000000002
2025-04-19 01:00:00+00:00,Puebla,Necaxa,0,1,2,0.8,2.6,1.6,2.0,-1.4000000000000001
2025-04-19 23:00:00+00:00,Club America,Mazatlán,5,0,1,1.8,0.6,0.8,1.6,2.0
2025-04-20 01:05:00+00:00,Toluca,Cruz Azul,2,2,0,3.4,0.8,1.2,0.6,2.0
2025-04-20 03:00:00+00:00,Tigres UANL,U.N.A.M. - Pumas,2,1,1,1.6,2.0,0.6,2.2,1.2000000000000002
2025-04-20 03:15:00+00:00,Atlas,Guadalajara Chivas,1,1,0,1.4,1.0,2.4,1.6,-0.3999999999999999
2025-04-20 23:00:00+00:00,Santos Laguna,Club Tijuana,0,4,2,1.4,1.2,1.4,1.8,0.6000000000000001
2025-04-21 01:00:00+00:00,Atletico San Luis,CF Pachuca,2,1,1,1.4,2.2,1.0,2.4,0.5999999999999996
2025-04-21 01:05:00+00:00,Leon,Monterrey,0,2,2,1.6,1.8,1.2,1.4,0.0
2025-04-21 03:00:00+00:00,FC Juarez,Club Queretaro,0,2,2,1.4,0.4,1.8,2.0,1.2
2025-04-28 01:30:00+00:00,Monterrey,CF Pachuca,1,2,2,2.4,2.2,1.2,2.4,1.3999999999999997
2025-05-05 01:30:00+00:00,Monterrey,U.N.A.M. - Pumas,2,0,1,2.0,2.0,1.4,2.2,0.8000000000000003
2025-05-08 01:00:00+00:00,Monterrey,Toluca,3,2,1,1.6,2.2,1.0,1.0,-0.6000000000000001
2025-05-08 03:10:00+00:00,CF Pachuca,Club America,0,0,0,1.6,1.0,0.6,0.6,0.6
2025-05-09 01:00:00+00:00,Necaxa,Tigres UANL,0,0,0,2.2,0.4,1.8,1.0,1.0
2025-05-09 03:10:00+00:00,Leon,Cruz Azul,2,3,2,1.0,1.0,1.0,0.6,-0.4
2025-05-11 01:00:00+00:00,Toluca,Monterrey,2,1,1,3.4,1.4,1.4,1.0,1.6
2025-05-11 03:10:00+00:00,Club America,CF Pachuca,2,0,1,2.4,2.4,0.2,2.2,2.0
2025-05-12 01:00:00+00:00,Cruz Azul,Leon,2,1,1,2.0,1.0,0.8,1.6,1.8
2025-05-12 03:10:00+00:00,Tigres UANL,Necaxa,2,2,0,1.6,2.2,0.6,1.6,0.3999999999999999
2025-05-15 03:00:00+00:00,Tigres UANL,Toluca,1,1,0,2.0,1.8,0.8,1.6,1.0
2025-05-16 02:00:00+00:00,Cruz Azul,Club America,1,0,1,2.2,0.6,1.0,0.6,1.2000000000000002
2025-05-18 01:00:00+00:00,Toluca,Tigres UANL,3,0,1,2.8,0.4,1.6,0.8,1.5999999999999996
2025-05-19 01:15:00+00:00,Club America,Cruz Azul,2,1,1,2.6,1.4,0.0,1.0,2.2
2025-05-23 02:00:00+00:00,Club America,Toluca,0,0,0,2.4,2.0,0.2,1.2,1.3999999999999997
2025-05-26 01:00:00+00:00,Toluca,Club America,2,0,1,2.4,0.6,1.2,0.8,1.4
