date,home,away,gh,ga,result,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,goal_diff_avg
2024-09-18 01:00:00+00:00,Atletico San Luis,Cruz Azul,3,1,1,2.25,2.6666666666666665,0.75,0.3333333333333333,-0.833333333333333
2024-09-18 03:00:00+00:00,Club Queretaro,Tigres UANL,1,0,1,0.3333333333333333,2.3333333333333335,2.0,0.6666666666666666,-3.333333333333334
2024-09-18 03:05:00+00:00,U.N.A.M. - Pumas,Puebla,1,0,1,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,1.666666666666667
2024-09-19 01:05:00+00:00,Guadalajara Chivas,Leon,2,0,1,2.3333333333333335,1.3333333333333333,0.0,2.6666666666666665,3.666666666666667
2024-09-19 02:00:00+00:00,Mazatlán,Necaxa,0,0,0,2.0,1.0,1.0,1.6666666666666667,1.6666666666666667
2024-09-19 03:00:00+00:00,Monterrey,FC Juarez,3,2,1,1.0,0.6666666666666666,2.3333333333333335,3.6666666666666665,1.6666666666666665
2024-09-21 01:00:00+00:00,Atlas,Club Queretaro,0,1,2,1.5,0.8,0.5,2.4,2.5999999999999996
2024-09-21 01:00:00+00:00,Puebla,CF Pachuca,2,3,2,1.4,0.0,1.4,1.75,1.75
2024-09-21 23:00:00+00:00,Leon,Atletico San Luis,1,0,1,0.75,0.75,1.0,1.75,0.75
2024-09-22 01:00:00+00:00,Monterrey,Mazatlán,0,0,0,1.5,0.0,2.25,1.75,1.0
2024-09-22 01:00:00+00:00,Necaxa,Club America,1,1,0,2.25,1.0,0.5,2.0,2.75
2024-09-22 03:05:00+00:00,Cruz Azul,Guadalajara Chivas,1,0,1,2.25,1.25,0.5,1.5,2.0
2024-09-22 23:00:00+00:00,U.N.A.M. - Pumas,Club Tijuana,1,0,1,2.0,0.75,1.0,2.25,2.5
2024-09-23 01:05:00+00:00,Santos Laguna,Toluca,2,0,1,1.0,1.25,2.0,1.0,-1.25
2024-09-23 01:10:00+00:00,FC Juarez,Tigres UANL,0,1,2,1.25,1.75,1.5,0.75,-1.25
2024-09-28 00:00:00+00:00,Puebla,FC Juarez,2,3,2,1.6,1.0,2.0,3.5,2.1
2024-09-28 01:00:00+00:00,Club Queretaro,Necaxa,0,0,0,0.5,0.75,1.5,1.25,-0.5
2024-09-28 02:00:00+00:00,Tigres UANL,Leon,2,2,0,1.0,1.0,0.25,2.5,2.25
2024-09-28 03:05:00+00:00,Club Tijuana,Mazatlán,1,0,1,2.75,0.0,1.5,1.4,2.65
2024-09-28 23:00:00+00:00,Toluca,Atlas,4,1,1,3.0,1.25,0.75,2.0,3.0
2024-09-29 01:05:00+00:00,CF Pachuca,Cruz Azul,2,4,2,1.25,2.25,1.0,1.0,-1.0
2024-09-29 03:05:00+00:00,Guadalajara Chivas,Monterrey,1,1,0,2.25,1.6,0.0,0.6,1.25
2024-09-29 03:10:00+00:00,Atletico San Luis,Santos Laguna,3,1,1,2.4,0.5,0.8,1.5,2.5999999999999996
2024-09-30 00:00:00+00:00,Club America,U.N.A.M. - Pumas,0,1,2,1.75,1.0,0.5,1.5,1.75
2024-10-05 02:00:00+00:00,Mazatlán,Club Queretaro,2,2,0,1.5,0.8,0.75,1.8,1.75
2024-10-05 03:00:00+00:00,Club Tijuana,CF Pachuca,2,1,1,2.4,0.6,1.2,1.8,2.4000000000000004
2024-10-05 23:00:00+00:00,Tigres UANL,Puebla,1,0,1,1.2,0.75,0.6,1.5,1.35
2024-10-05 23:00:00+00:00,Cruz Azul,Necaxa,3,0,1,2.0,0.6,0.4,1.0,2.0
2024-10-05 23:00:00+00:00,Atletico San Luis,Monterrey,1,0,1,2.6,1.6,0.8,0.8,1.0
2024-10-06 01:00:00+00:00,Toluca,U.N.A.M. - Pumas,1,1,0,3.2,1.0,0.8,1.2,2.6000000000000005
2024-10-06 01:05:00+00:00,Guadalajara Chivas,Atlas,2,3,2,2.0,1.2,0.2,2.4,3.0
2024-10-06 03:00:00+00:00,Leon,Club America,1,1,0,0.8,1.0,0.8,1.8,0.8
2024-10-07 02:05:00+00:00,Santos Laguna,FC Juarez,0,2,2,1.2,1.4,1.6,3.2,1.4000000000000001
2024-10-19 01:00:00+00:00,Atlas,Mazatlán,0,0,0,1.2,0.0,0.6,1.4,2.0
2024-10-19 01:00:00+00:00,Club Queretaro,Toluca,0,1,2,0.4,1.0,1.2,1.2,-0.6
2024-10-19 03:00:00+00:00,Necaxa,Club Tijuana,1,2,2,2.0,0.6,0.6,2.0,2.8
2024-10-19 03:05:00+00:00,Puebla,Cruz Azul,1,2,2,1.6,2.6,2.2,1.2,-2.0
2024-10-19 23:00:00+00:00,CF Pachuca,Guadalajara Chivas,0,2,2,1.4,1.0,1.6,1.4,0.19999999999999973
2024-10-20 01:05:00+00:00,Club America,Santos Laguna,3,0,1,1.4,0.6,0.6,1.8,2.0
2024-10-20 01:06:00+00:00,FC Juarez,Leon,2,3,2,1.0,1.2,1.4,2.4,0.8
2024-10-20 03:10:00+00:00,Monterrey,Tigres UANL,4,2,1,1.2,1.6,1.8,0.6,-1.6
2024-10-20 18:00:00+00:00,U.N.A.M. - Pumas,Atletico San Luis,3,0,1,1.8,0.6,0.8,1.6,2.0
